,FY2025,FY2026,FY2027,FY2028,FY2029
Sales Revenue ($'000),195190.0,207488.0,217760.0,240330.0,265239.295095518
Free Cash Flow,77430.0,96065.0,74169.0,71045.33851220457,68053.23146211676
Discount Factor,0.9358914365933552,0.8758927810887742,0.819740553194922,0.7671881639634273,0.7180048329091504
Discounted Free Cash Flows,72466.0739354235,84142.6400152931,60799.337089914174,54505.142811338395,48862.54908488488
Free Cash Flow Estimate 2,85057.41775461356,90416.48391346513,94892.68553842229,104727.95332223103,115582.6093953517
Discounted Free Cash Flow 2,79604.50889528645,79195.14555123339,77787.38253741806,80346.04622492993,82988.87214611309
